tiempo,valor,unidad,codigo_indicador,nombre_indicador,codigo_region,nombre_region,fuente
2024,68.3,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Togo,Wikipedia
2024,43.8,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Tonga,Wikipedia
2024,56.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Trinidad and Tobago,Wikipedia
2024,78.6,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Tunisia,Wikipedia
2024,29.5,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Turkey,Wikipedia
2024,4.7,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Turkmenistan,Wikipedia
2024,7.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Tuvalu,Wikipedia
2024,49.7,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Uganda,Wikipedia
2024,95.6,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Ukraine,Wikipedia
2024,30.3,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,United Arab Emirates,Wikipedia
2024,101.8,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,United Kingdom,Wikipedia
2024,121.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,United States,Wikipedia
2024,61.9,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Uruguay,Wikipedia
2024,36.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Uzbekistan,Wikipedia
2024,44.0,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Vanuatu,Wikipedia
2024,33.5,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Vietnam,Wikipedia
2024,81.4,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Yemen,Wikipedia
2024,98.5,%,GOVT_DEBT_PCT_GDP,General government debt as a % of GDP,,Zimbabwe,Wikipedia
